Ah,T,P,V,Time
-0.23199,24.81741,-0.594868996,4.0862,334.004997834563
-0.23206,24.81741,-1.0430101547,4.08367,334.996000304818
-0.23213,24.81741,-1.0322575965,4.08249,336.017992347479
-0.2322,24.81741,-1.0320452025,4.08165,337.006993219256
-0.23227,24.81741,-1.031875793,4.08098,337.999997287989
-0.23234,24.81741,-1.031703855,4.0803,339.005996659398
-0.23241,24.81741,-1.042021718,4.0798,340.002993866801
-0.23248,24.92257,-1.0314484765,4.07929,341.006991639733
-0.23255,24.92257,-1.031319523,4.07878,342.006000503898
-0.23262,24.92257,-1.0312360825,4.07845,343.00199188292
-0.23269,24.92257,-1.0415900751,4.07811,343.99699755013
-0.23276,24.92257,-1.0415032357,4.07777,344.996992126107
-0.23283,24.92257,-1.0414189504,4.07744,345.997992530465
-0.2329,24.92257,-1.103793283,4.0771,347.005993500352
-0.233,24.92257,-6.9503129649,4.07373,348.004992306232
-0.23349,24.92257,-13.1707179625,4.05721,348.998992145061
-0.23449,24.92257,-22.2347403684,4.03782,350.003995746374
-0.23604,24.92257,-22.3164699949,4.01911,350.996999815106
-0.23812,24.92257,-34.7111002176,3.99248,352.006992325187
-0.24059,24.92257,-35.921138703,3.9763,353.000992164016
-0.24321,24.92257,-37.5748256224,3.96754,354.00000102818
-0.24596,24.92257,-23.2394682588,3.96467,354.998999834061
-0.24759,24.92257,-29.4667787564,3.99484,356.00499920547
-0.24963,24.92257,-29.6115132006,3.98001,356.997993215919
-0.25173,24.92257,-30.2148891774,3.97647,358.002001047134
-0.25405,24.92257,-41.1895472732,3.96433,358.996000885963
-0.25709,24.92257,-23.3134410696,3.94293,360.000994428992
-0.25872,24.92257,-23.3261592022,3.98641,360.996000096202
-0.26039,24.92257,-19.6376839404,3.98793,361.999997869134
-0.26167,24.92257,-22.9848515688,3.99788,363.003995642066
-0.26326,24.92257,-23.5715312976,3.98658,364.011000841856
-0.26507,24.92257,-26.469354288,3.97832,365.005000680685
-0.26708,24.92257,-18.2119170078,3.97242,365.995993092656
-0.26785,24.92257,-15.1015761102,4.01406,367.001992464066
-0.26895,24.92257,-15.8167107306,4.00563,367.996998131275
-0.26941,24.92257,-2.0488367208,4.03108,369.002997502685
-0.26955,24.92257,-9.8083499844,4.04238,369.995991513133
-0.27047,24.92257,-27.709296372,4.0122,370.998993515968
-0.2724,24.92257,-21.4275381568,3.97984,372.009991854429
-0.27388,24.92257,-21.221174309,3.99265,372.999998554587
-0.27456,24.92257,-9.5040329346,4.02282,374.005997925997
-0.27521,24.92257,-9.4973619132,4.02434,374.997996166348
-0.27587,24.92257,-9.499745493,4.02535,376.007998734713
-0.27653,24.92257,-9.5017278762,4.02619,376.999001204967
-0.27718,24.92257,-10.0043629897,4.02569,378.003994747996
-0.27799,24.92257,-12.1072025001,4.02063,379.00199778378
-0.27914,24.92257,-15.7226974855,4.01035,380.001992359757
-0.27999,24.92257,-7.8962113861,4.02029,380.99499642849
-0.28049,24.92257,-0.5357037441,4.03361,382.002997398376
-0.28051,24.92257,0.0207046469,4.05179,383.002991974354
-0.27983,24.92257,10.2963981342,4.08027,383.997997641563
-0.27903,24.92257,4.0280211963,4.08567,385.00599861145
-0.27876,24.92257,31.697009498,4.08364,386.005993187428
-0.27662,24.92257,32.2661533985,4.14197,386.99899725616
-0.27431,24.92257,38.641770528,4.1541,387.997000291944
-0.27128,24.92257,32.5990025972,4.17922,389.001993834972
-0.26909,24.92257,31.8762132,4.15596,390.006997436285
-0.26713,24.92257,28.6981057127,4.15073,391.002998873591
-0.26533,24.92257,26.3083429698,4.14669,392.001997679472
-0.26368,24.92257,24.3715054384,4.14332,393.000996485353
-0.26258,24.92257,16.5969392067,4.12579,394.006995856762
-0.26141,24.92257,12.6979851409,4.12579,395.003993064165
-0.26062,24.92257,6.974172939,4.1123,396.001000329852
-0.26022,24.92257,0.8165669204,4.09882,396.997997537255
-0.2602,24.92257,0,4.08516,397.998997941613
-0.26026,24.92257,-1.0422362624,4.08064,399.0069989115
